latitude,longitude,crime_type,crime_rate,hour_of_day,day_of_week,lighting,population_density
28.6139,77.2090,harassment,0.82,23,5,dark,low
28.6145,77.2085,stalking,0.75,22,3,dark,low
28.6132,77.2095,theft,0.68,21,6,dim,medium
28.6150,77.2078,harassment,0.88,0,0,dark,low
28.6128,77.2102,assault,0.91,1,4,dark,low
28.6562,77.2373,harassment,0.79,22,2,dark,low
28.6570,77.2380,stalking,0.72,23,5,dark,low
28.6555,77.2365,theft,0.65,20,1,dim,medium
28.6558,77.2390,harassment,0.85,0,6,dark,low
28.6575,77.2370,assault,0.90,2,3,dark,low
28.5707,77.0369,harassment,0.76,21,4,dark,low
28.5715,77.0375,stalking,0.70,22,0,dark,low
28.5700,77.0360,theft,0.60,19,2,dim,medium
28.5710,77.0380,harassment,0.83,23,6,dark,low
28.5720,77.0365,robbery,0.87,0,1,dark,low
28.5245,77.2167,harassment,0.55,20,3,dim,medium
28.5250,77.2170,stalking,0.50,21,5,dim,medium
28.5240,77.2160,theft,0.45,19,0,dim,medium
28.5248,77.2175,harassment,0.60,22,2,dark,low
28.5921,77.0421,harassment,0.62,21,4,dark,medium
28.5925,77.0425,stalking,0.58,22,1,dark,medium
28.5918,77.0415,theft,0.52,20,6,dim,medium
28.6271,77.3640,harassment,0.71,23,3,dark,low
28.6275,77.3645,stalking,0.66,22,0,dark,low
28.6268,77.3635,theft,0.60,21,5,dim,medium
28.6280,77.3650,assault,0.78,0,2,dark,low
28.6300,77.2090,harassment,0.40,18,4,dim,high
28.6305,77.2095,theft,0.35,17,1,lit,high
28.6310,77.2088,stalking,0.30,16,6,lit,high
28.7000,77.1500,none,0.05,10,1,lit,high
28.7005,77.1505,none,0.08,11,3,lit,high
28.7010,77.1510,none,0.03,9,5,lit,high
28.7015,77.1495,none,0.06,12,0,lit,high
28.7020,77.1500,none,0.04,14,2,lit,high
28.6800,77.2200,none,0.10,8,4,lit,high
28.6805,77.2205,none,0.07,9,6,lit,high
28.6810,77.2210,none,0.09,10,1,lit,high
28.6815,77.2195,none,0.12,15,3,lit,high
28.6820,77.2200,none,0.06,13,5,lit,high
28.5500,77.1800,none,0.08,11,2,lit,medium
28.5505,77.1805,none,0.05,10,4,lit,medium
28.5510,77.1810,none,0.07,9,0,lit,medium
28.5515,77.1795,none,0.04,12,6,lit,medium
28.5520,77.1800,none,0.06,14,1,lit,medium
28.6400,77.2800,none,0.09,8,3,lit,high
28.6405,77.2805,none,0.11,9,5,lit,high
28.6410,77.2810,none,0.07,10,0,lit,high
28.6415,77.2795,none,0.05,11,2,lit,high
28.6420,77.2800,none,0.08,13,4,lit,high
28.6100,77.2300,none,0.10,10,1,lit,medium
